"season","team","opponent","playing","half","goals"
"2012/13","Everton","Norwich",0,"first",1
"2012/13","Man Utd","QPR",0,"first",1
"2012/13","Sunderland","West Brom",0,"first",0
"2012/13","Aston Villa","Arsenal",0,"first",0
"2012/13","Man City","Chelsea",1,"first",0
"2012/13","Newcastle","Southampton",1,"first",2
"2012/13","Chelsea","Man City",0,"first",0
"2012/13","Southampton","Newcastle",0,"first",1
"2012/13","West Ham","Tottenham",1,"first",1
"2012/13","Tottenham","West Ham",0,"first",1
"2012/13","Chelsea","West Brom",1,"first",1
"2012/13","Everton","Reading",1,"first",1
"2012/13","Man Utd","Norwich",1,"first",1
"2012/13","Southampton","QPR",1,"first",1
"2012/13","Stoke","West Ham",1,"first",0
"2012/13","Sunderland","Fulham",1,"first",1
"2012/13","Swansea","Newcastle",1,"first",0
"2012/13","Wigan","Liverpool",1,"first",0
"2012/13","West Brom","Chelsea",0,"first",0
"2012/13","Reading","Everton",0,"first",0
"2012/13","Norwich","Man Utd",0,"first",0
"2012/13","QPR","Southampton",0,"first",1
"2012/13","West Ham","Stoke",0,"first",1
"2012/13","Fulham","Sunderland",0,"first",2
"2012/13","Newcastle","Swansea",0,"first",0
"2012/13","Liverpool","Wigan",0,"first",3
"2012/13","Tottenham","Arsenal",1,"first",2
"2012/13","Arsenal","Tottenham",0,"first",0
"2012/13","Aston Villa","Man City",1,"first",0
"2012/13","Man City","Aston Villa",0,"first",1
"2012/13","West Brom","Swansea",1,"first",1
"2012/13","Norwich","Southampton",1,"first",0
"2012/13","QPR","Sunderland",1,"first",1
"2012/13","Reading","Aston Villa",1,"first",1
"2012/13","Swansea","West Brom",0,"first",1
"2012/13","Southampton","Norwich",0,"first",0
"2012/13","Sunderland","QPR",0,"first",1
"2012/13","Aston Villa","Reading",0,"first",2
"2012/13","Newcastle","Stoke",1,"first",0
"2012/13","Liverpool","Tottenham",1,"first",1
"2012/13","Stoke","Newcastle",0,"first",0
"2012/13","Tottenham","Liverpool",0,"first",1
"2012/13","Everton","Man City",1,"first",1
"2012/13","Southampton","Liverpool",1,"first",2
"2012/13","Stoke","West Brom",1,"first",0
"2012/13","Aston Villa","QPR",1,"first",1
"2012/13","Swansea","Arsenal",1,"first",0
"2012/13","Man Utd","Reading",1,"first",1
"2012/13","Man City","Everton",0,"first",0
"2012/13","Liverpool","Southampton",0,"first",1
"2012/13","West Brom","Stoke",0,"first",0
"2012/13","QPR","Aston Villa",0,"first",1
"2012/13","Arsenal","Swansea",0,"first",0
"2012/13","Reading","Man Utd",0,"first",0
"2012/13","Sunderland","Norwich",1,"first",1
"2012/13","Tottenham","Fulham",1,"first",0
"2012/13","Wigan","Newcastle",1,"first",1
"2012/13","Chelsea","West Ham",1,"first",1
"2012/13","Norwich","Sunderland",0,"first",1
"2012/13","Fulham","Tottenham",0,"first",0
"2012/13","Newcastle","Wigan",0,"first",0
"2012/13","West Ham","Chelsea",0,"first",0
"2012/13","Sunderland","Man Utd",1,"first",0
